name,capital,region,countrycode,capital,region,subregion,population,languages,flag
Kenya,KEN,Nairobi,Africa,Eastern Africa,47251000,English,https://restcountries.eu/data/ken.svg
Kiribati,KIR,South Tarawa,Oceania,Micronesia,113400,English,https://restcountries.eu/data/kir.svg
Kuwait,KWT,Kuwait City,Asia,Western Asia,4183658,Arabic,https://restcountries.eu/data/kwt.svg
Kyrgyzstan,KGZ,Bishkek,Asia,Central Asia,6047800,Kyrgyz,https://restcountries.eu/data/kgz.svg
Lao People's Democratic Republic,LAO,Vientiane,Asia,South-Eastern Asia,6492400,Lao,https://restcountries.eu/data/lao.svg
Latvia,LVA,Riga,Europe,Northern Europe,1961600,Latvian,https://restcountries.eu/data/lva.svg
Lebanon,LBN,Beirut,Asia,Western Asia,5988000,Arabic,https://restcountries.eu/data/lbn.svg
Lesotho,LSO,Maseru,Africa,Southern Africa,1894194,English,https://restcountries.eu/data/lso.svg
Liberia,LBR,Monrovia,Africa,Western Africa,4615000,English,https://restcountries.eu/data/lbr.svg
Libya,LBY,Tripoli,Africa,Northern Africa,6385000,Arabic,https://restcountries.eu/data/lby.svg
Liechtenstein,LIE,Vaduz,Europe,Western Europe,37623,German,https://restcountries.eu/data/lie.svg
Lithuania,LTU,Vilnius,Europe,Northern Europe,2872294,Lithuanian,https://restcountries.eu/data/ltu.svg
Luxembourg,LUX,Luxembourg,Europe,Western Europe,576200,French,https://restcountries.eu/data/lux.svg
Macao,MAC,NA,Asia,Eastern Asia,649100,Chinese,https://restcountries.eu/data/mac.svg
Macedonia (the former Yugoslav Republic of),MKD,Skopje,Europe,Southern Europe,2058539,Macedonian,https://restcountries.eu/data/mkd.svg
Madagascar,MDG,Antananarivo,Africa,Eastern Africa,22434363,French,https://restcountries.eu/data/mdg.svg
Malawi,MWI,Lilongwe,Africa,Eastern Africa,16832910,English,https://restcountries.eu/data/mwi.svg
Malaysia,MYS,Kuala Lumpur,Asia,South-Eastern Asia,31405416,Malaysian,https://restcountries.eu/data/mys.svg
Maldives,MDV,Malé,Asia,Southern Asia,344023,Divehi,https://restcountries.eu/data/mdv.svg
Mali,MLI,Bamako,Africa,Western Africa,18135000,French,https://restcountries.eu/data/mli.svg
Malta,MLT,Valletta,Europe,Southern Europe,425384,Maltese,https://restcountries.eu/data/mlt.svg
Marshall Islands,MHL,Majuro,Oceania,Micronesia,54880,English,https://restcountries.eu/data/mhl.svg
Martinique,MTQ,Fort-de-France,Americas,Caribbean,378243,French,https://restcountries.eu/data/mtq.svg
Mauritania,MRT,Nouakchott,Africa,Western Africa,3718678,Arabic,https://restcountries.eu/data/mrt.svg
Mauritius,MUS,Port Louis,Africa,Eastern Africa,1262879,English,https://restcountries.eu/data/mus.svg
Mayotte,MYT,Mamoudzou,Africa,Eastern Africa,226915,French,https://restcountries.eu/data/myt.svg
Mexico,MEX,Mexico City,Americas,Central America,122273473,Spanish,https://restcountries.eu/data/mex.svg
Micronesia (Federated States of),FSM,Palikir,Oceania,Micronesia,102800,English,https://restcountries.eu/data/fsm.svg
Moldova (Republic of),MDA,Chișinău,Europe,Eastern Europe,3553100,Romanian,https://restcountries.eu/data/mda.svg
Monaco,MCO,Monaco,Europe,Western Europe,38400,French,https://restcountries.eu/data/mco.svg
Mongolia,MNG,Ulan Bator,Asia,Eastern Asia,3093100,Mongolian,https://restcountries.eu/data/mng.svg
Montenegro,MNE,Podgorica,Europe,Southern Europe,621810,Serbian,https://restcountries.eu/data/mne.svg
Montserrat,MSR,Plymouth,Americas,Caribbean,4922,English,https://restcountries.eu/data/msr.svg
Morocco,MAR,Rabat,Africa,Northern Africa,33337529,Arabic,https://restcountries.eu/data/mar.svg
Mozambique,MOZ,Maputo,Africa,Eastern Africa,26423700,Portuguese,https://restcountries.eu/data/moz.svg
Myanmar,MMR,Naypyidaw,Asia,South-Eastern Asia,51419420,Burmese,https://restcountries.eu/data/mmr.svg
Namibia,NAM,Windhoek,Africa,Southern Africa,2324388,English,https://restcountries.eu/data/nam.svg
